INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
987543,-1.04,1036.0,79.0,-3.85,40.0,10000.0,0.0,
3734436,27.04,1015.0,93.0,25.81,40.0,10000.0,0.0,
2260101,26.1,1015.0,84.0,23.18,75.0,10000.0,4.1,
4666025,7.1,1036.0,57.0,-0.74,40.0,10000.0,1.5,
4501312,11.64,1022.0,76.0,7.56,100.0,10000.0,2.6,
4616084,12.01,1027.0,37.0,-1.96,20.0,10000.0,5.7,
5328840,13.01,1022.0,84.0,10.37,75.0,10000.0,4.1,0.28
5162105,11.97,1030.0,32.0,-3.72,100.0,10000.0,3.1,
657814,-12.26,1019.0,51.0,-19.5,0.0,10000.0,10.8,
2455506,20.45,1017.0,84.0,17.66,75.0,10000.0,0.0,
1784682,21.34,1011.0,99.0,21.18,100.0,4023.0,3.6,
2788128,30.4,1019.0,76.0,25.69,100.0,3219.0,12.9,15.4
3539198,31.71,1014.0,57.0,22.14,40.0,10000.0,6.7,
488541,-20.03,1022.0,77.0,-22.72,0.0,10000.0,2.1,
133171,-4.26,1032.0,54.0,-11.32,100.0,10000.0,7.7,
3993435,12.76,1014.0,82.0,9.77,20.0,10000.0,2.1,
2732414,27.09,1027.0,18.0,0.76,0.0,10000.0,5.1,
95976,-11.69,1020.0,72.0,-15.29,100.0,10000.0,11.8,
2308340,18.82,1016.0,90.0,17.15,100.0,10000.0,3.6,
748715,-8.89,1024.0,52.0,-16.11,20.0,10000.0,4.6,
583292,16.51,1021.0,85.0,13.98,20.0,9656.0,0.0,
5210769,12.95,1018.0,93.0,11.85,100.0,3219.0,6.7,1.9
2333221,25.85,1024.0,66.0,19.02,75.0,10000.0,3.1,0.64
516385,-12.61,1027.0,80.0,-15.05,66.0,,2.02,
1383289,23.0,1022.0,78.0,18.96,100.0,10000.0,3.6,
3727477,25.59,1016.0,79.0,21.68,40.0,10000.0,5.7,
2322378,20.06,1018.0,80.0,16.51,100.0,10000.0,3.1,
10208,4.77,1021.0,40.0,-6.82,40.0,10000.0,5.7,
1412986,14.0,1009.0,32.0,-2.14,75.0,10000.0,4.1,
1883813,24.1,1017.0,38.0,8.91,20.0,10000.0,1.5,
3576873,32.35,1014.0,47.0,19.6,40.0,10000.0,5.7,0.9
4057555,25.07,1014.0,56.0,15.69,100.0,10000.0,4.6,
3434275,30.0,1014.0,32.0,11.52,40.0,10000.0,3.6,
4643295,12.09,1022.0,79.0,8.56,75.0,10000.0,4.6,
4558305,14.11,1005.0,61.0,6.71,100.0,10000.0,5.1,
5218495,21.0,1013.0,86.0,18.57,75.0,10000.0,6.7,0.11
1427671,1.81,1017.0,82.0,-0.82,100.0,10000.0,2.6,
4367122,23.82,1011.0,81.0,20.36,100.0,10000.0,1.5,0.18
3733880,21.52,1015.0,96.0,20.86,40.0,10000.0,0.0,1.05
1715448,11.09,990.0,96.0,10.48,100.0,4023.0,1.5,
1540552,11.64,1007.0,100.0,11.64,100.0,1207.0,1.5,0.29
2956835,16.61,1015.0,77.0,12.57,0.0,10000.0,6.7,
730821,-3.53,1016.0,73.0,-7.2,20.0,10000.0,4.1,
3180696,15.9,1012.0,82.0,12.83,40.0,10000.0,3.6,
2696331,27.15,1019.0,87.0,24.8,40.0,10000.0,2.6,
901691,-3.96,1039.0,71.0,-7.94,75.0,10000.0,0.0,
1697339,19.03,1011.0,91.0,17.53,100.0,2414.0,3.6,1.0
3736839,26.7,1014.0,84.0,23.77,100.0,10000.0,3.6,
540244,4.45,1031.0,76.0,0.59,100.0,10000.0,5.7,
830802,11.5,1016.0,60.0,4.01,40.0,10000.0,2.1,
2424343,12.71,1015.0,80.0,9.35,75.0,10000.0,5.7,
4759597,3.99,1028.0,79.0,0.68,75.0,9656.0,3.6,
3218404,32.66,1015.0,49.0,20.55,20.0,10000.0,3.1,
876488,18.92,1017.0,92.0,17.59,75.0,10000.0,2.6,0.85
1612709,18.81,1014.0,78.0,14.9,100.0,10000.0,7.2,
2110594,16.46,1025.0,51.0,6.3,100.0,10000.0,5.7,
4437929,9.52,1022.0,79.0,6.06,0.0,10000.0,0.0,
941420,7.08,1016.0,96.0,6.49,100.0,2414.0,3.1,0.3
386657,-1.81,1014.0,74.0,-5.37,100.0,9656.0,6.7,
4655873,14.24,1019.0,57.0,5.85,20.0,10000.0,2.6,
2304442,19.52,1024.0,91.0,18.01,40.0,4828.0,4.1,6.6
779843,-1.27,1008.0,92.0,-2.27,100.0,10000.0,1.5,
3665336,20.49,1011.0,53.0,10.59,0.0,10000.0,1.5,
